Service discovery failed DEVICE:13 [8 Mar 2011 23:52:26 GMT]
Service discovery failed DEVICE:08 [9 Mar 2011 00:04:05 GMT]
Service discovery failed DEVICE:13 [9 Mar 2011 00:04:11 GMT]
HTC Dream cancled election initiation [9 Mar 2011 00:04:11 GMT]
13:34:38 STARTING NEW INSTANCE : POTENTIAL NEIGHBORS = 6
Service discovery failed DEVICE:zxc [9 Mar 2011 19:37:16 GMT]
07 cancled election initiation [9 Mar 2011 19:37:23 GMT]
Service discovery failed DEVICE:07 [9 Mar 2011 19:47:30 GMT]
Device or resource busy DEVICE:08 [9 Mar 2011 19:47:31 GMT]
Device or resource busy DEVICE:HTC Dream [9 Mar 2011 19:47:32 GMT]
Device or resource busy DEVICE:ty [9 Mar 2011 19:47:33 GMT]
Service discovery failed DEVICE:09 [9 Mar 2011 19:47:38 GMT]
Service discovery failed DEVICE:zxc [9 Mar 2011 19:47:43 GMT]
Device or resource busy DEVICE:HTC Dream [9 Mar 2011 19:51:40 GMT]
07 cancled election initiation [9 Mar 2011 19:51:43 GMT]
Device or resource busy DEVICE:zxc [9 Mar 2011 19:56:05 GMT]
Device or resource busy DEVICE:HTC Dream [9 Mar 2011 19:56:05 GMT]
07 cancled election initiation [9 Mar 2011 19:56:06 GMT]
Device or resource busy DEVICE:HTC Dream [9 Mar 2011 20:00:25 GMT]
07 cancled election initiation [9 Mar 2011 20:00:25 GMT]
Device or resource busy DEVICE:08 [9 Mar 2011 20:08:33 GMT]
Device or resource busy DEVICE:HTC Dream [9 Mar 2011 20:08:33 GMT]
